,arg_names,arg_text,arg_types,args_string,args_vals,class_name,link,module,section_name
49,"['n_estimators', 'criterion', 'max_features', 'max_depth', 'min_samples_split', 'min_samples_leaf', 'min_weight_fraction_leaf', 'max_leaf_nodes', 'bootstrap', 'oob_score', 'n_jobs', 'random_state', 'verbose', 'warm_start', 'class_weight']","['n_estimators : integer, optional (default=10)', ""criterion : string, optional (default='gini')"", ""max_features : int, float, string or None, optional (default='auto')"", 'max_depth : integer or None, optional (default=None)', 'min_samples_split : integer, optional (default=2)', 'min_samples_leaf : integer, optional (default=1)', 'min_weight_fraction_leaf : float, optional (default=0.)', 'max_leaf_nodes : int or None, optional (default=None)', 'bootstrap : boolean, optional (default=False)', 'oob_score : bool', 'n_jobs : integer, optional (default=1)', 'random_state : int, RandomState instance or None, optional (default=None)', 'verbose : int, optional (default=0)', 'warm_start : bool, optional (default=False)', ""class_weight : dict, list of dicts, 'balanced', 'balanced_subsample' or None, optional""]","[""<type 'int'>"", ""<type 'str'>"", ""<type 'float'>"", ""(<type 'int'>, None)"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'float'>"", ""(<type 'int'>, None)"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'int'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""<type 'int'>"", ""<type 'bool'>"", ""<type 'dict'>""]","n_estimators=10, criterion='gini', max_depth=None, min_samples_split=2, min_samples_leaf=1, min_weight_fraction_leaf=0.0, max_features='auto', max_leaf_nodes=None, bootstrap=False, oob_score=False, n_jobs=1, random_state=None, verbose=0, warm_start=False, class_weight=None","[('n_estimators', '10'), ('criterion', ""'gini'""), ('max_depth', 'None'), ('min_samples_split', '2'), ('min_samples_leaf', '1'), ('min_weight_fraction_leaf', '0.0'), ('max_features', ""'auto'""), ('max_leaf_nodes', 'None'), ('bootstrap', 'False'), ('oob_score', 'False'), ('n_jobs', '1'), ('random_state', 'None'), ('verbose', '0'), ('warm_start', 'False'), ('class_weight', 'None')]",ExtraTreesClassifier,http://scikit-learn.org/stable/modules/generated/sklearn.ensemble.ExtraTreesClassifier.html#sklearn.ensemble.ExtraTreesClassifier,sklearn.ensemble,Ensemble Methods
50,"['n_estimators', 'criterion', 'max_features', 'max_depth', 'min_samples_split', 'min_samples_leaf', 'min_weight_fraction_leaf', 'max_leaf_nodes', 'bootstrap', 'oob_score', 'n_jobs', 'random_state', 'verbose', 'warm_start']","['n_estimators : integer, optional (default=10)', ""criterion : string, optional (default='mse')"", ""max_features : int, float, string or None, optional (default='auto')"", 'max_depth : integer or None, optional (default=None)', 'min_samples_split : integer, optional (default=2)', 'min_samples_leaf : integer, optional (default=1)', 'min_weight_fraction_leaf : float, optional (default=0.)', 'max_leaf_nodes : int or None, optional (default=None)', 'bootstrap : boolean, optional (default=False)', 'oob_score : bool', 'n_jobs : integer, optional (default=1)', 'random_state : int, RandomState instance or None, optional (default=None)', 'verbose : int, optional (default=0)', 'warm_start : bool, optional (default=False)']","[""<type 'int'>"", ""<type 'str'>"", ""<type 'float'>"", ""(<type 'int'>, None)"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'float'>"", ""(<type 'int'>, None)"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'int'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""<type 'int'>"", ""<type 'bool'>""]","n_estimators=10, criterion='mse', max_depth=None, min_samples_split=2, min_samples_leaf=1, min_weight_fraction_leaf=0.0, max_features='auto', max_leaf_nodes=None, bootstrap=False, oob_score=False, n_jobs=1, random_state=None, verbose=0, warm_start=False","[('n_estimators', '10'), ('criterion', ""'mse'""), ('max_depth', 'None'), ('min_samples_split', '2'), ('min_samples_leaf', '1'), ('min_weight_fraction_leaf', '0.0'), ('max_features', ""'auto'""), ('max_leaf_nodes', 'None'), ('bootstrap', 'False'), ('oob_score', 'False'), ('n_jobs', '1'), ('random_state', 'None'), ('verbose', '0'), ('warm_start', 'False')]",ExtraTreesRegressor,http://scikit-learn.org/stable/modules/generated/sklearn.ensemble.ExtraTreesRegressor.html#sklearn.ensemble.ExtraTreesRegressor,sklearn.ensemble,Ensemble Methods
51,"['loss', 'learning_rate', 'n_estimators', 'max_depth', 'min_samples_split', 'min_samples_leaf', 'min_weight_fraction_leaf', 'subsample', 'max_features', 'max_leaf_nodes', 'init', 'verbose', 'warm_start', 'random_state', 'presort']","[""loss : {'deviance', 'exponential'}, optional (default='deviance')"", 'learning_rate : float, optional (default=0.1)', 'n_estimators : int (default=100)', 'max_depth : integer, optional (default=3)', 'min_samples_split : integer, optional (default=2)', 'min_samples_leaf : integer, optional (default=1)', 'min_weight_fraction_leaf : float, optional (default=0.)', 'subsample : float, optional (default=1.0)', 'max_features : int, float, string or None, optional (default=None)', 'max_leaf_nodes : int or None, optional (default=None)', 'init : BaseEstimator, None, optional (default=None)', 'verbose : int, default: 0', 'warm_start : bool, default: False', 'random_state : int, RandomState instance or None, optional (default=None)', ""presort : bool or 'auto', optional (default='auto')""]","[None, ""<type 'float'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'float'>"", ""<type 'float'>"", ""<type 'float'>"", ""(<type 'int'>, None)"", ""<class 'sklearn.base.BaseEstimator'>"", ""<type 'int'>"", ""<type 'bool'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""<type 'bool'>""]","loss='deviance', learning_rate=0.1, n_estimators=100, subsample=1.0, min_samples_split=2, min_samples_leaf=1, min_weight_fraction_leaf=0.0, max_depth=3, init=None, random_state=None, max_features=None, verbose=0, max_leaf_nodes=None, warm_start=False, presort='auto'","[('loss', ""'deviance'""), ('learning_rate', '0.1'), ('n_estimators', '100'), ('subsample', '1.0'), ('min_samples_split', '2'), ('min_samples_leaf', '1'), ('min_weight_fraction_leaf', '0.0'), ('max_depth', '3'), ('init', 'None'), ('random_state', 'None'), ('max_features', 'None'), ('verbose', '0'), ('max_leaf_nodes', 'None'), ('warm_start', 'False'), ('presort', ""'auto'"")]",GradientBoostingClassifier,http://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingClassifier.html#sklearn.ensemble.GradientBoostingClassifier,sklearn.ensemble,Ensemble Methods
52,"['loss', 'learning_rate', 'n_estimators', 'max_depth', 'min_samples_split', 'min_samples_leaf', 'min_weight_fraction_leaf', 'subsample', 'max_features', 'max_leaf_nodes', 'alpha', 'init', 'verbose', 'warm_start', 'random_state', 'presort']","[""loss : {'ls', 'lad', 'huber', 'quantile'}, optional (default='ls')"", 'learning_rate : float, optional (default=0.1)', 'n_estimators : int (default=100)', 'max_depth : integer, optional (default=3)', 'min_samples_split : integer, optional (default=2)', 'min_samples_leaf : integer, optional (default=1)', 'min_weight_fraction_leaf : float, optional (default=0.)', 'subsample : float, optional (default=1.0)', 'max_features : int, float, string or None, optional (default=None)', 'max_leaf_nodes : int or None, optional (default=None)', 'alpha : float (default=0.9)', 'init : BaseEstimator, None, optional (default=None)', 'verbose : int, default: 0', 'warm_start : bool, default: False', 'random_state : int, RandomState instance or None, optional (default=None)', ""presort : bool or 'auto', optional (default='auto')""]","[None, ""<type 'float'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'float'>"", ""<type 'float'>"", ""<type 'float'>"", ""(<type 'int'>, None)"", ""<type 'float'>"", ""<class 'sklearn.base.BaseEstimator'>"", ""<type 'int'>"", ""<type 'bool'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""<type 'bool'>""]","loss='ls', learning_rate=0.1, n_estimators=100, subsample=1.0, min_samples_split=2, min_samples_leaf=1, min_weight_fraction_leaf=0.0, max_depth=3, init=None, random_state=None, max_features=None, alpha=0.9, verbose=0, max_leaf_nodes=None, warm_start=False, presort='auto'","[('loss', ""'ls'""), ('learning_rate', '0.1'), ('n_estimators', '100'), ('subsample', '1.0'), ('min_samples_split', '2'), ('min_samples_leaf', '1'), ('min_weight_fraction_leaf', '0.0'), ('max_depth', '3'), ('init', 'None'), ('random_state', 'None'), ('max_features', 'None'), ('alpha', '0.9'), ('verbose', '0'), ('max_leaf_nodes', 'None'), ('warm_start', 'False'), ('presort', ""'auto'"")]",GradientBoostingRegressor,http://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html#sklearn.ensemble.GradientBoostingRegressor,sklearn.ensemble,Ensemble Methods
53,"['n_estimators', 'criterion', 'max_features', 'max_depth', 'min_samples_split', 'min_samples_leaf', 'min_weight_fraction_leaf', 'max_leaf_nodes', 'bootstrap', 'oob_score', 'n_jobs', 'random_state', 'verbose', 'warm_start', 'class_weight']","['n_estimators : integer, optional (default=10)', ""criterion : string, optional (default='gini')"", ""max_features : int, float, string or None, optional (default='auto')"", 'max_depth : integer or None, optional (default=None)', 'min_samples_split : integer, optional (default=2)', 'min_samples_leaf : integer, optional (default=1)', 'min_weight_fraction_leaf : float, optional (default=0.)', 'max_leaf_nodes : int or None, optional (default=None)', 'bootstrap : boolean, optional (default=True)', 'oob_score : bool', 'n_jobs : integer, optional (default=1)', 'random_state : int, RandomState instance or None, optional (default=None)', 'verbose : int, optional (default=0)', 'warm_start : bool, optional (default=False)', ""class_weight : dict, list of dicts, 'balanced', 'balanced_subsample' or None, optional""]","[""<type 'int'>"", ""<type 'str'>"", ""<type 'float'>"", ""(<type 'int'>, None)"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'float'>"", ""(<type 'int'>, None)"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'int'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""<type 'int'>"", ""<type 'bool'>"", ""<type 'dict'>""]","n_estimators=10, criterion='gini', max_depth=None, min_samples_split=2, min_samples_leaf=1, min_weight_fraction_leaf=0.0, max_features='auto', max_leaf_nodes=None, bootstrap=True, oob_score=False, n_jobs=1, random_state=None, verbose=0, warm_start=False, class_weight=None","[('n_estimators', '10'), ('criterion', ""'gini'""), ('max_depth', 'None'), ('min_samples_split', '2'), ('min_samples_leaf', '1'), ('min_weight_fraction_leaf', '0.0'), ('max_features', ""'auto'""), ('max_leaf_nodes', 'None'), ('bootstrap', 'True'), ('oob_score', 'False'), ('n_jobs', '1'), ('random_state', 'None'), ('verbose', '0'), ('warm_start', 'False'), ('class_weight', 'None')]",RandomForestClassifier,http://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestClassifier.html#sklearn.ensemble.RandomForestClassifier,sklearn.ensemble,Ensemble Methods
54,"['n_estimators', 'max_depth', 'min_samples_split', 'min_samples_leaf', 'min_weight_fraction_leaf', 'max_leaf_nodes', 'sparse_output', 'n_jobs', 'random_state', 'verbose', 'warm_start']","['n_estimators : int', 'max_depth : int', 'min_samples_split : integer, optional (default=2)', 'min_samples_leaf : integer, optional (default=1)', 'min_weight_fraction_leaf : float, optional (default=0.)', 'max_leaf_nodes : int or None, optional (default=None)', 'sparse_output : bool, optional (default=True)', 'n_jobs : integer, optional (default=1)', 'random_state : int, RandomState instance or None, optional (default=None)', 'verbose : int, optional (default=0)', 'warm_start : bool, optional (default=False)']","[""<type 'int'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'float'>"", ""(<type 'int'>, None)"", ""<type 'bool'>"", ""<type 'int'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""<type 'int'>"", ""<type 'bool'>""]","n_estimators=10, max_depth=5, min_samples_split=2, min_samples_leaf=1, min_weight_fraction_leaf=0.0, max_leaf_nodes=None, sparse_output=True, n_jobs=1, random_state=None, verbose=0, warm_start=False","[('n_estimators', '10'), ('max_depth', '5'), ('min_samples_split', '2'), ('min_samples_leaf', '1'), ('min_weight_fraction_leaf', '0.0'), ('max_leaf_nodes', 'None'), ('sparse_output', 'True'), ('n_jobs', '1'), ('random_state', 'None'), ('verbose', '0'), ('warm_start', 'False')]",RandomTreesEmbedding,http://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomTreesEmbedding.html#sklearn.ensemble.RandomTreesEmbedding,sklearn.ensemble,Ensemble Methods
55,"['n_estimators', 'criterion', 'max_features', 'max_depth', 'min_samples_split', 'min_samples_leaf', 'min_weight_fraction_leaf', 'max_leaf_nodes', 'bootstrap', 'oob_score', 'n_jobs', 'random_state', 'verbose', 'warm_start']","['n_estimators : integer, optional (default=10)', ""criterion : string, optional (default='mse')"", ""max_features : int, float, string or None, optional (default='auto')"", 'max_depth : integer or None, optional (default=None)', 'min_samples_split : integer, optional (default=2)', 'min_samples_leaf : integer, optional (default=1)', 'min_weight_fraction_leaf : float, optional (default=0.)', 'max_leaf_nodes : int or None, optional (default=None)', 'bootstrap : boolean, optional (default=True)', 'oob_score : bool', 'n_jobs : integer, optional (default=1)', 'random_state : int, RandomState instance or None, optional (default=None)', 'verbose : int, optional (default=0)', 'warm_start : bool, optional (default=False)']","[""<type 'int'>"", ""<type 'str'>"", ""<type 'float'>"", ""(<type 'int'>, None)"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'float'>"", ""(<type 'int'>, None)"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'int'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""<type 'int'>"", ""<type 'bool'>""]","n_estimators=10, criterion='mse', max_depth=None, min_samples_split=2, min_samples_leaf=1, min_weight_fraction_leaf=0.0, max_features='auto', max_leaf_nodes=None, bootstrap=True, oob_score=False, n_jobs=1, random_state=None, verbose=0, warm_start=False","[('n_estimators', '10'), ('criterion', ""'mse'""), ('max_depth', 'None'), ('min_samples_split', '2'), ('min_samples_leaf', '1'), ('min_weight_fraction_leaf', '0.0'), ('max_features', ""'auto'""), ('max_leaf_nodes', 'None'), ('bootstrap', 'True'), ('oob_score', 'False'), ('n_jobs', '1'), ('random_state', 'None'), ('verbose', '0'), ('warm_start', 'False')]",RandomForestRegressor,http://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html#sklearn.ensemble.RandomForestRegressor,sklearn.ensemble,Ensemble Methods
56,"['estimators', 'voting', 'weights']","['estimators : list of (string, estimator) tuples', ""voting : str, {'hard', 'soft'} (default='hard')"", 'weights : array-like, shape = [n_classifiers], optional (default=`None`)']","[""[<type 'str'>, <class 'sklearn.base.BaseEstimator'>]"", ""<type 'str'>"", ""<type 'numpy.ndarray'>""]","estimators=None, voting='hard', weights=None","[('estimators', None), ('voting', ""'hard'""), ('weights', 'None')]",VotingClassifier,http://scikit-learn.org/stable/modules/generated/sklearn.ensemble.VotingClassifier.html#sklearn.ensemble.VotingClassifier,sklearn.ensemble,Ensemble Methods
57,"['dtype', 'separator: string, optional', 'sparse: boolean, optional.', 'sort: boolean, optional.']","['dtype : callable, optional', 'separator: string, optional :', 'sparse: boolean, optional. :', 'sort: boolean, optional. :']","['<built-in function callable>', ""<type 'str'>"", ""<type 'bool'>"", ""<type 'bool'>""]","dtype=<class 'numpy.float64'>, separator='=', sparse=True, sort=True","[('dtype', ""<class 'numpy.float64'>""), ('separator', ""'='""), ('sparse', 'True'), ('sort', 'True')]",DictVectorizer,http://scikit-learn.org/stable/modules/generated/sklearn.feature_extraction.DictVectorizer.html#sklearn.feature_extraction.DictVectorizer,sklearn.feature_extraction,Feature Extraction
58,"['n_features', 'dtype', 'input_type', 'non_negative']","['n_features : integer, optional', 'dtype : numpy type, optional, default np.float64', ""input_type : string, optional, default 'dict'"", 'non_negative : boolean, optional, default False']","[""<type 'int'>"", ""<type 'float'>"", ""<type 'dict'>"", ""<type 'bool'>""]","n_features=1048576, input_type='dict', dtype=<class 'numpy.float64'>, non_negative=False","[('n_features', '1048576'), ('input_type', ""'dict'""), ('dtype', ""<class 'numpy.float64'>""), ('non_negative', 'False')]",FeatureHasher,http://scikit-learn.org/stable/modules/generated/sklearn.feature_extraction.FeatureHasher.html#sklearn.feature_extraction.FeatureHasher,sklearn.feature_extraction,Feature Extraction
59,"['score_func', 'mode', 'param']","['score_func : callable', ""mode : {'percentile', 'k_best', 'fpr', 'fdr', 'fwe'}"", 'param : float or int depending on the feature selection mode']","['<built-in function callable>', None, ""(<type 'float'>, <type 'int'>)""]","score_func=<function f_classif at 0x7f5d61708510>, mode='percentile', param=1e-05","[('score_func', '<function f_classif at 0x7f5d61708510>'), ('mode', ""'percentile'""), ('param', '1e-05')]",GenericUnivariateSelect,http://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.GenericUnivariateSelect.html#sklearn.feature_selection.GenericUnivariateSelect,sklearn.feature_selection,Feature Selection
60,"['score_func', 'percentile']","['score_func : callable', 'percentile : int, optional, default=10']","['<built-in function callable>', ""<type 'int'>""]","score_func=<function f_classif at 0x7f49246ca048>, percentile=10","[('score_func', '<function f_classif at 0x7f49246ca048>'), ('percentile', '10')]",SelectPercentile,http://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.SelectPercentile.html#sklearn.feature_selection.SelectPercentile,sklearn.feature_selection,Feature Selection
61,"['score_func', 'k']","['score_func : callable', ""k : int or 'all', optional, default=10""]","['<built-in function callable>', ""<type 'int'>""]","score_func=<function f_classif at 0x7f49246ca048>, k=10","[('score_func', '<function f_classif at 0x7f49246ca048>'), ('k', '10')]",SelectKBest,http://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.SelectKBest.html#sklearn.feature_selection.SelectKBest,sklearn.feature_selection,Feature Selection
62,"['score_func', 'alpha']","['score_func : callable', 'alpha : float, optional']","['<built-in function callable>', ""<type 'float'>""]","score_func=<function f_classif at 0x7f5d61708510>, alpha=0.05","[('score_func', '<function f_classif at 0x7f5d61708510>'), ('alpha', '0.05')]",SelectFpr,http://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.SelectFpr.html#sklearn.feature_selection.SelectFpr,sklearn.feature_selection,Feature Selection
63,"['score_func', 'alpha']","['score_func : callable', 'alpha : float, optional']","['<built-in function callable>', ""<type 'float'>""]","score_func=<function f_classif at 0x7f5d61708510>, alpha=0.05","[('score_func', '<function f_classif at 0x7f5d61708510>'), ('alpha', '0.05')]",SelectFdr,http://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.SelectFdr.html#sklearn.feature_selection.SelectFdr,sklearn.feature_selection,Feature Selection
64,"['estimator', 'threshold', 'prefit']","['estimator : object', 'threshold : string, float, optional default None', 'prefit : bool, default False']","[""<type 'object'>"", ""<type 'float'>"", ""<type 'bool'>""]","estimator=None, threshold=None, prefit=False","[('estimator', None), ('threshold', 'None'), ('prefit', 'False')]",SelectFromModel,http://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.SelectFromModel.html#sklearn.feature_selection.SelectFromModel,sklearn.feature_selection,Feature Selection
65,"['score_func', 'alpha']","['score_func : callable', 'alpha : float, optional']","['<built-in function callable>', ""<type 'float'>""]","score_func=<function f_classif at 0x7f5d61708510>, alpha=0.05","[('score_func', '<function f_classif at 0x7f5d61708510>'), ('alpha', '0.05')]",SelectFwe,http://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.SelectFwe.html#sklearn.feature_selection.SelectFwe,sklearn.feature_selection,Feature Selection
66,"['estimator', 'n_features_to_select', 'step', 'estimator_params', 'verbose']","['estimator : object', 'n_features_to_select : int or None (default=None)', 'step : int or float, optional (default=1)', 'estimator_params : dict', 'verbose : int, default=0']","[""<type 'object'>"", ""(<type 'int'>, None)"", ""<type 'float'>"", ""<type 'dict'>"", ""<type 'int'>""]","estimator=None, n_features_to_select=None, step=1, estimator_params=None, verbose=0","[('estimator', None), ('n_features_to_select', 'None'), ('step', '1'), ('estimator_params', 'None'), ('verbose', '0')]",RFE,http://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.RFE.html#sklearn.feature_selection.RFE,sklearn.feature_selection,Feature Selection
67,"['estimator', 'step', 'cv', 'scoring', 'estimator_params', 'verbose']","['estimator : object', 'step : int or float, optional (default=1)', 'cv : int, cross-validation generator or an iterable, optional', 'scoring : string, callable or None, optional, default: None', 'estimator_params : dict', 'verbose : int, default=0']","[""<type 'object'>"", ""<type 'float'>"", ""(<type 'int'>, <class 'sklearn.cross_validation.KFold'>)"", '<built-in function callable>', ""<type 'dict'>"", ""<type 'int'>""]","estimator=None, step=1, cv=None, scoring=None, estimator_params=None, verbose=0","[('estimator', None), ('step', '1'), ('cv', 'None'), ('scoring', 'None'), ('estimator_params', 'None'), ('verbose', '0')]",RFECV,http://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.RFECV.html#sklearn.feature_selection.RFECV,sklearn.feature_selection,Feature Selection
68,['threshold'],"['threshold : float, optional']","[""<type 'float'>""]",threshold=0.0,"[('threshold', '0.0')]",VarianceThreshold,http://scikit-learn.org/stable/modules/generated/sklearn.feature_selection.VarianceThreshold.html#sklearn.feature_selection.VarianceThreshold,sklearn.feature_selection,Feature Selection
69,"['regr', 'corr', 'beta0', 'storage_mode', 'verbose', 'theta0', 'thetaL', 'thetaU', 'normalize', 'nugget', 'optimizer', 'random_start', 'random_state: integer or numpy.RandomState, optional']","['regr : string or callable, optional', 'corr : string or callable, optional', 'beta0 : double array_like, optional', 'storage_mode : string, optional', 'verbose : boolean, optional', 'theta0 : double array_like, optional', 'thetaL : double array_like, optional', 'thetaU : double array_like, optional', 'normalize : boolean, optional', 'nugget : double or ndarray, optional', 'optimizer : string, optional', 'random_start : int, optional', 'random_state: integer or numpy.RandomState, optional :']","['<built-in function callable>', '<built-in function callable>', ""<type 'numpy.ndarray'>"", ""<type 'str'>"", ""<type 'bool'>"", ""<type 'numpy.ndarray'>"", ""<type 'numpy.ndarray'>"", ""<type 'numpy.ndarray'>"", ""<type 'bool'>"", ""<type 'numpy.ndarray'>"", ""<type 'str'>"", ""<type 'int'>"", ""(<type 'int'>, <type 'mtrand.RandomState'>)""]","regr='constant', corr='squared_exponential', beta0=None, storage_mode='full', verbose=False, theta0=0.1, thetaL=None, thetaU=None, optimizer='fmin_cobyla', random_start=1, normalize=True, nugget=2.2204460492503131e-15, random_state=None","[('regr', ""'constant'""), ('corr', ""'squared_exponential'""), ('beta0', 'None'), ('storage_mode', ""'full'""), ('verbose', 'False'), ('theta0', '0.1'), ('thetaL', 'None'), ('thetaU', 'None'), ('optimizer', ""'fmin_cobyla'""), ('random_start', '1'), ('normalize', 'True'), ('nugget', '2.2204460492503131e-15'), ('random_state', 'None')]",GaussianProcess,http://scikit-learn.org/stable/modules/generated/sklearn.gaussian_process.GaussianProcess.html#sklearn.gaussian_process.GaussianProcess,sklearn.gaussian_process,Gaussian Processes
70,"['estimator', 'param_grid', 'scoring', 'fit_params', 'n_jobs', 'pre_dispatch', 'iid', 'cv', 'refit', 'verbose', 'error_score']","['estimator : estimator object.', 'param_grid : dict or list of dictionaries', 'scoring : string, callable or None, default=None', 'fit_params : dict, optional', 'n_jobs : int, default=1', 'pre_dispatch : int, or string, optional', 'iid : boolean, default=True', 'cv : int, cross-validation generator or an iterable, optional', 'refit : boolean, default=True', 'verbose : integer', ""error_score : 'raise' (default) or numeric""]","[""<class 'sklearn.base.BaseEstimator'>"", ""<type 'dict'>"", '<built-in function callable>', ""<type 'dict'>"", ""<type 'int'>"", ""(<type 'int'>, <type 'str'>)"", ""<type 'bool'>"", ""(<type 'int'>, <class 'sklearn.cross_validation.KFold'>)"", ""<type 'bool'>"", ""<type 'int'>"", None]","estimator=None, param_grid=None, scoring=None, fit_params=None, n_jobs=1, iid=True, refit=True, cv=None, verbose=0, pre_dispatch='2*n_jobs', error_score='raise'","[('estimator', None), ('param_grid', None), ('scoring', 'None'), ('fit_params', 'None'), ('n_jobs', '1'), ('iid', 'True'), ('refit', 'True'), ('cv', 'None'), ('verbose', '0'), ('pre_dispatch', ""'2*n_jobs'""), ('error_score', ""'raise'"")]",GridSearchCV,http://scikit-learn.org/stable/modules/generated/sklearn.grid_search.GridSearchCV.html#sklearn.grid_search.GridSearchCV,sklearn.grid_search,Grid Search
71,['param_grid'],"['param_grid : dict of string to sequence, or sequence of such']","[""<type 'dict'>""]",param_grid=None,"[('param_grid', None)]",ParameterGrid,http://scikit-learn.org/stable/modules/generated/sklearn.grid_search.ParameterGrid.html#sklearn.grid_search.ParameterGrid,sklearn.grid_search,Grid Search
72,"['param_distributions', 'n_iter', 'random_state']","['param_distributions : dict', 'n_iter : integer', 'random_state : int or RandomState']","[""<type 'dict'>"", ""<type 'int'>"", ""(<type 'int'>, <type 'mtrand.RandomState'>)""]","param_distributions=None, n_iter=None, random_state=None","[('param_distributions', None), ('n_iter', None), ('random_state', 'None')]",ParameterSampler,http://scikit-learn.org/stable/modules/generated/sklearn.grid_search.ParameterSampler.html#sklearn.grid_search.ParameterSampler,sklearn.grid_search,Grid Search
73,"['estimator', 'param_distributions', 'n_iter', 'scoring', 'fit_params', 'n_jobs', 'pre_dispatch', 'iid', 'cv', 'refit', 'verbose', 'random_state', 'error_score']","['estimator : estimator object.', 'param_distributions : dict', 'n_iter : int, default=10', 'scoring : string, callable or None, default=None', 'fit_params : dict, optional', 'n_jobs : int, default=1', 'pre_dispatch : int, or string, optional', 'iid : boolean, default=True', 'cv : int, cross-validation generator or an iterable, optional', 'refit : boolean, default=True', 'verbose : integer', 'random_state : int or RandomState', ""error_score : 'raise' (default) or numeric""]","[""<class 'sklearn.base.BaseEstimator'>"", ""<type 'dict'>"", ""<type 'int'>"", '<built-in function callable>', ""<type 'dict'>"", ""<type 'int'>"", ""(<type 'int'>, <type 'str'>)"", ""<type 'bool'>"", ""(<type 'int'>, <class 'sklearn.cross_validation.KFold'>)"", ""<type 'bool'>"", ""<type 'int'>"", ""(<type 'int'>, <type 'mtrand.RandomState'>)"", None]","estimator=None, param_distributions=None, n_iter=10, scoring=None, fit_params=None, n_jobs=1, iid=True, refit=True, cv=None, verbose=0, pre_dispatch='2*n_jobs', random_state=None, error_score='raise'","[('estimator', None), ('param_distributions', None), ('n_iter', '10'), ('scoring', 'None'), ('fit_params', 'None'), ('n_jobs', '1'), ('iid', 'True'), ('refit', 'True'), ('cv', 'None'), ('verbose', '0'), ('pre_dispatch', ""'2*n_jobs'""), ('random_state', 'None'), ('error_score', ""'raise'"")]",RandomizedSearchCV,http://scikit-learn.org/stable/modules/generated/sklearn.grid_search.RandomizedSearchCV.html#sklearn.grid_search.RandomizedSearchCV,sklearn.grid_search,Grid Search
74,"['y_min', 'y_max', 'increasing', 'out_of_bounds']","['y_min : optional, default: None', 'y_max : optional, default: None', 'increasing : boolean or string, optional, default: True', ""out_of_bounds : string, optional, default: 'nan'""]","[None, None, ""<type 'bool'>"", ""<type 'str'>""]","y_min=None, y_max=None, increasing=True, out_of_bounds='nan'","[('y_min', 'None'), ('y_max', 'None'), ('increasing', 'True'), ('out_of_bounds', ""'nan'"")]",IsotonicRegression,http://scikit-learn.org/stable/modules/generated/sklearn.isotonic.IsotonicRegression.html#sklearn.isotonic.IsotonicRegression,sklearn.isotonic,Isotonic regression
75,"['sample_steps', 'sample_interval']","['sample_steps : int, optional', 'sample_interval : float, optional']","[""<type 'int'>"", ""<type 'float'>""]","sample_steps=2, sample_interval=None","[('sample_steps', '2'), ('sample_interval', 'None')]",AdditiveChi2Sampler,http://scikit-learn.org/stable/modules/generated/sklearn.kernel_approximation.AdditiveChi2Sampler.html#sklearn.kernel_approximation.AdditiveChi2Sampler,sklearn.kernel_approximation,Kernel Approximation
